iso_code,country,date,owid_weekly_excess_mortality_p_score
AUT,Austria,2020-01-05,-10.78
AUT,Austria,2020-01-12,-8.35
AUT,Austria,2020-01-19,0.59
AUT,Austria,2020-01-26,1.83
AUT,Austria,2020-02-02,7.06
AUT,Austria,2020-02-09,-8.43
AUT,Austria,2020-02-16,-5.06
AUT,Austria,2020-02-23,-5.65
AUT,Austria,2020-03-01,-2.62
AUT,Austria,2020-03-08,-0.55
AUT,Austria,2020-03-15,0.39
AUT,Austria,2020-03-22,14.89
AUT,Austria,2020-03-29,7.24
AUT,Austria,2020-04-05,15.3
AUT,Austria,2020-04-12,15.96
AUT,Austria,2020-04-19,11.86
AUT,Austria,2020-04-26,8.01
AUT,Austria,2020-05-03,1.05
AUT,Austria,2020-05-10,5.6
AUT,Austria,2020-05-17,1.78
AUT,Austria,2020-05-24,4.18
AUT,Austria,2020-05-31,0.25
AUT,Austria,2020-06-07,5.49
AUT,Austria,2020-06-14,1.22
AUT,Austria,2020-06-21,0.38
AUT,Austria,2020-06-28,2.66
AUT,Austria,2020-07-05,8.77
AUT,Austria,2020-07-12,0.41
AUT,Austria,2020-07-19,-1.82
AUT,Austria,2020-07-26,-2.47
AUT,Austria,2020-08-02,1.48
AUT,Austria,2020-08-09,0.48
AUT,Austria,2020-08-16,10.02
AUT,Austria,2020-08-23,3.01
AUT,Austria,2020-08-30,5.13
AUT,Austria,2020-09-06,10.59
AUT,Austria,2020-09-13,10.05
AUT,Austria,2020-09-20,10.26
AUT,Austria,2020-09-27,4.1
AUT,Austria,2020-10-04,5.07
AUT,Austria,2020-10-11,6.91
AUT,Austria,2020-10-18,7.56
AUT,Austria,2020-10-25,17.89
AUT,Austria,2020-11-01,25.31
AUT,Austria,2020-11-08,32.97
AUT,Austria,2020-11-15,47.26
AUT,Austria,2020-11-22,56.96
AUT,Austria,2020-11-29,57.94
AUT,Austria,2020-12-06,58.95
AUT,Austria,2020-12-13,54.16
AUT,Austria,2020-12-20,36.85
AUT,Austria,2020-12-27,22.12
AUT,Austria,2021-01-03,15.09
AUT,Austria,2021-01-10,7.79
AUT,Austria,2021-01-17,5.01
AUT,Austria,2021-01-24,12.18
BEL,Belgium,2020-01-05,-6.17
BEL,Belgium,2020-01-12,-1.09
BEL,Belgium,2020-01-19,-4.0
BEL,Belgium,2020-01-26,-8.52
BEL,Belgium,2020-02-02,-5.46
BEL,Belgium,2020-02-09,-12.43
BEL,Belgium,2020-02-16,-8.03
BEL,Belgium,2020-02-23,-6.91
BEL,Belgium,2020-03-01,-11.23
BEL,Belgium,2020-03-08,-9.41
BEL,Belgium,2020-03-15,-3.86
BEL,Belgium,2020-03-22,10.8
BEL,Belgium,2020-03-29,44.42
BEL,Belgium,2020-04-05,90.79
BEL,Belgium,2020-04-12,105.61
BEL,Belgium,2020-04-19,81.39
BEL,Belgium,2020-04-26,50.43
BEL,Belgium,2020-05-03,20.86
BEL,Belgium,2020-05-10,18.07
BEL,Belgium,2020-05-17,3.32
BEL,Belgium,2020-05-24,5.93
BEL,Belgium,2020-05-31,3.09
BEL,Belgium,2020-06-07,-3.51
BEL,Belgium,2020-06-14,2.39
BEL,Belgium,2020-06-21,-5.13
BEL,Belgium,2020-06-28,3.9
BEL,Belgium,2020-07-05,-12.42
BEL,Belgium,2020-07-12,-8.85
BEL,Belgium,2020-07-19,-2.25
BEL,Belgium,2020-07-26,-8.91
BEL,Belgium,2020-08-02,3.85
BEL,Belgium,2020-08-09,9.1
BEL,Belgium,2020-08-16,55.51
BEL,Belgium,2020-08-23,16.89
