iso_code,country,date,yougov_support_quarantine_any_person
AUS,Australia,2020-03-08,70
AUS,Australia,2020-03-15,72
AUS,Australia,2020-03-22,80
AUS,Australia,2020-03-29,83
AUS,Australia,2020-04-05,83
AUS,Australia,2020-04-12,84
AUS,Australia,2020-04-19,85
AUS,Australia,2020-04-26,84
AUS,Australia,2020-05-03,82
AUS,Australia,2020-06-05,81
AUS,Australia,2020-06-19,79
AUS,Australia,2020-07-03,77
AUS,Australia,2020-08-02,78
CAN,Canada,2020-03-17,73
CAN,Canada,2020-03-23,80
CAN,Canada,2020-03-30,84
CAN,Canada,2020-04-06,83
CAN,Canada,2020-04-13,80
CAN,Canada,2020-04-20,82
CAN,Canada,2020-04-27,83
CAN,Canada,2020-05-06,79
CAN,Canada,2020-05-26,70
CAN,Canada,2020-06-11,70
CAN,Canada,2020-06-26,70
CAN,Canada,2020-07-07,71
CAN,Canada,2020-07-21,72
CAN,Canada,2020-08-04,73
CAN,Canada,2020-08-19,70
DEU,Germany,2020-03-04,53
DEU,Germany,2020-03-16,63
DEU,Germany,2020-03-23,75
DEU,Germany,2020-03-30,72
DEU,Germany,2020-04-06,69
DEU,Germany,2020-04-13,68
DEU,Germany,2020-04-20,67
DEU,Germany,2020-04-27,67
DEU,Germany,2020-05-04,63
DEU,Germany,2020-05-25,56
DEU,Germany,2020-06-18,54
DEU,Germany,2020-07-02,55
DEU,Germany,2020-07-16,56
DEU,Germany,2020-07-30,59
DEU,Germany,2020-08-13,59
DEU,Germany,2020-08-27,59
ESP,Spain,2020-03-12,66
ESP,Spain,2020-03-19,82
ESP,Spain,2020-03-25,81
ESP,Spain,2020-04-02,79
ESP,Spain,2020-04-08,78
ESP,Spain,2020-04-16,76
ESP,Spain,2020-04-23,77
ESP,Spain,2020-04-30,75
ESP,Spain,2020-05-20,71
ESP,Spain,2020-05-28,64
ESP,Spain,2020-06-08,61
ESP,Spain,2020-06-12,64
ESP,Spain,2020-06-21,60
ESP,Spain,2020-06-25,65
ESP,Spain,2020-07-09,71
ESP,Spain,2020-07-16,74
ESP,Spain,2020-07-23,75
ESP,Spain,2020-07-30,74
ESP,Spain,2020-08-06,76
ESP,Spain,2020-08-25,74
FRA,France,2020-03-10,52
FRA,France,2020-03-13,58
FRA,France,2020-03-20,77
FRA,France,2020-03-27,78
FRA,France,2020-04-03,72
FRA,France,2020-04-10,65
FRA,France,2020-04-17,66
FRA,France,2020-04-24,64
