iso_code,country,date,yougov_support_stopping_flights_from_china
AUS,Australia,2020-03-08,60
AUS,Australia,2020-03-15,66
CAN,Canada,2020-03-17,65
CAN,Canada,2020-03-23,71
CAN,Canada,2020-03-30,71
CAN,Canada,2020-04-06,68
CAN,Canada,2020-04-13,55
DEU,Germany,2020-03-04,41
DEU,Germany,2020-03-16,53
DEU,Germany,2020-03-23,62
DEU,Germany,2020-03-30,54
ESP,Spain,2020-03-12,63
ESP,Spain,2020-03-19,72
ESP,Spain,2020-03-25,72
ESP,Spain,2020-04-02,69
ESP,Spain,2020-04-08,70
ESP,Spain,2020-04-16,68
ESP,Spain,2020-04-23,71
ESP,Spain,2020-04-30,66
ESP,Spain,2020-06-12,39
ESP,Spain,2020-06-21,38
ESP,Spain,2020-06-25,43
FRA,France,2020-03-10,42
FRA,France,2020-03-13,47
FRA,France,2020-03-20,63
FRA,France,2020-03-27,62
GBR,United Kingdom,2020-03-01,46
GBR,United Kingdom,2020-03-13,50
GBR,United Kingdom,2020-03-20,59
GBR,United Kingdom,2020-03-27,68
GBR,United Kingdom,2020-04-14,60
GBR,United Kingdom,2020-04-17,59
GBR,United Kingdom,2020-04-24,54
GBR,United Kingdom,2020-05-01,52
GBR,United Kingdom,2020-05-30,48
GBR,United Kingdom,2020-06-16,42
GBR,United Kingdom,2020-06-25,44
GBR,United Kingdom,2020-07-03,48
GBR,United Kingdom,2020-07-12,36
HKG,Hong Kong SAR China,2020-02-25,60
HKG,Hong Kong SAR China,2020-03-03,54
HKG,Hong Kong SAR China,2020-03-10,50
HKG,Hong Kong SAR China,2020-03-17,50
HKG,Hong Kong SAR China,2020-03-24,49
HKG,Hong Kong SAR China,2020-03-31,53
IDN,Indonesia,2020-02-24,55
IDN,Indonesia,2020-03-02,56
IDN,Indonesia,2020-03-09,53
IDN,Indonesia,2020-03-16,57
IDN,Indonesia,2020-03-23,62
IDN,Indonesia,2020-03-30,63
IND,India,2020-03-16,60
IND,India,2020-03-20,63
IND,India,2020-03-27,75
IND,India,2020-04-03,75
ITA,Italy,2020-03-11,45
ITA,Italy,2020-03-19,39
ITA,Italy,2020-03-25,34
ITA,Italy,2020-04-03,39
ITA,Italy,2020-04-09,41
ITA,Italy,2020-04-16,39
ITA,Italy,2020-04-23,38
ITA,Italy,2020-04-30,33
ITA,Italy,2020-05-26,23
ITA,Italy,2020-06-17,24
ITA,Italy,2020-06-23,26
JPN,Japan,2020-03-17,36
JPN,Japan,2020-03-24,38
JPN,Japan,2020-03-30,41
MEX,Mexico,2020-03-17,56
MEX,Mexico,2020-03-23,57
MEX,Mexico,2020-03-30,59
MEX,Mexico,2020-04-06,57
MYS,Malaysia,2020-02-24,64
MYS,Malaysia,2020-03-02,65
MYS,Malaysia,2020-03-09,65
MYS,Malaysia,2020-03-16,70
MYS,Malaysia,2020-03-23,69
MYS,Malaysia,2020-03-30,68
PHL,Philippines,2020-02-24,64
PHL,Philippines,2020-03-02,55
PHL,Philippines,2020-03-09,54
PHL,Philippines,2020-03-16,63
PHL,Philippines,2020-03-23,68
PHL,Philippines,2020-03-30,67
SGP,Singapore,2020-02-21,55
SGP,Singapore,2020-02-28,54
SGP,Singapore,2020-03-06,52
SGP,Singapore,2020-03-13,40
SGP,Singapore,2020-03-20,48
SGP,Singapore,2020-03-27,49
THA,Thailand,2020-02-24,47
THA,Thailand,2020-03-02,50
THA,Thailand,2020-03-09,48
THA,Thailand,2020-03-16,46
THA,Thailand,2020-03-23,51
THA,Thailand,2020-03-30,57
TWN,Taiwan,2020-02-25,54
TWN,Taiwan,2020-03-03,62
TWN,Taiwan,2020-03-10,56
TWN,Taiwan,2020-03-17,54
TWN,Taiwan,2020-03-24,64
TWN,Taiwan,2020-03-31,62
USA,United States,2020-03-02,52
USA,United States,2020-03-17,55
USA,United States,2020-03-23,59
USA,United States,2020-03-30,63
USA,United States,2020-04-06,62
VNM,Vietnam,2020-03-30,71
VNM,Vietnam,2020-04-06,73
