iso_code,country,date,yougov_support_free_masks
AUS,Australia,2020-03-08,41
AUS,Australia,2020-03-15,39
AUS,Australia,2020-03-22,46
AUS,Australia,2020-03-29,49
AUS,Australia,2020-04-05,46
AUS,Australia,2020-04-12,45
AUS,Australia,2020-04-19,44
AUS,Australia,2020-04-26,40
AUS,Australia,2020-05-03,41
AUS,Australia,2020-06-05,37
AUS,Australia,2020-06-19,42
AUS,Australia,2020-07-03,43
AUS,Australia,2020-08-02,56
AUS,Australia,2020-08-30,46
CAN,Canada,2020-03-17,29
CAN,Canada,2020-03-23,34
CAN,Canada,2020-03-30,37
CAN,Canada,2020-04-06,40
CAN,Canada,2020-04-13,37
CAN,Canada,2020-04-20,44
CAN,Canada,2020-04-27,49
CAN,Canada,2020-05-06,47
CAN,Canada,2020-05-26,45
CAN,Canada,2020-06-11,42
CAN,Canada,2020-06-26,45
CAN,Canada,2020-07-07,46
CAN,Canada,2020-07-21,49
CAN,Canada,2020-08-04,45
CAN,Canada,2020-08-19,41
CAN,Canada,2020-09-01,42
CAN,Canada,2020-10-30,45
CAN,Canada,2020-11-27,40
DEU,Germany,2020-03-04,23
DEU,Germany,2020-03-16,27
DEU,Germany,2020-03-23,41
DEU,Germany,2020-03-30,47
DEU,Germany,2020-04-06,53
DEU,Germany,2020-04-13,57
DEU,Germany,2020-04-20,62
DEU,Germany,2020-04-27,65
DEU,Germany,2020-05-04,59
DEU,Germany,2020-05-25,49
DEU,Germany,2020-06-18,44
DEU,Germany,2020-07-02,45
DEU,Germany,2020-07-16,47
DEU,Germany,2020-07-30,43
DEU,Germany,2020-08-13,42
DEU,Germany,2020-08-27,40
DEU,Germany,2020-09-10,39
DEU,Germany,2020-09-24,43
DEU,Germany,2020-10-08,40
DEU,Germany,2020-10-22,40
DEU,Germany,2020-11-04,45
DEU,Germany,2020-11-19,44
DEU,Germany,2020-12-04,45
DEU,Germany,2020-12-17,50
DEU,Germany,2020-12-31,46
DEU,Germany,2021-01-18,56
ESP,Spain,2020-03-12,29
ESP,Spain,2020-03-19,54
ESP,Spain,2020-03-25,61
ESP,Spain,2020-04-02,60
ESP,Spain,2020-04-08,79
ESP,Spain,2020-04-16,81
ESP,Spain,2020-04-23,80
ESP,Spain,2020-04-30,77
ESP,Spain,2020-05-20,73
ESP,Spain,2020-05-28,70
ESP,Spain,2020-06-08,61
ESP,Spain,2020-06-12,67
ESP,Spain,2020-06-21,57
ESP,Spain,2020-06-25,58
ESP,Spain,2020-07-09,60
ESP,Spain,2020-07-16,62
ESP,Spain,2020-07-23,66
ESP,Spain,2020-07-30,65
ESP,Spain,2020-08-06,67
ESP,Spain,2020-08-25,62
ESP,Spain,2020-09-04,62
ESP,Spain,2020-09-10,62
ESP,Spain,2020-09-18,64
ESP,Spain,2020-09-23,63
ESP,Spain,2020-09-30,66
ESP,Spain,2020-10-16,63
ESP,Spain,2020-11-04,62
ESP,Spain,2020-11-16,67
ESP,Spain,2020-11-23,65
ESP,Spain,2020-12-02,64
ESP,Spain,2020-12-11,62
ESP,Spain,2020-12-18,62
ESP,Spain,2020-12-23,62
ESP,Spain,2021-01-07,59
ESP,Spain,2021-01-13,58
FRA,France,2020-03-10,35
FRA,France,2020-03-13,44
FRA,France,2020-03-20,49
FRA,France,2020-03-27,64
FRA,France,2020-04-03,68
FRA,France,2020-04-10,78
FRA,France,2020-04-17,83
FRA,France,2020-04-24,82
FRA,France,2020-05-01,80
FRA,France,2020-05-20,71
FRA,France,2020-05-27,67
FRA,France,2020-06-04,61
FRA,France,2020-06-12,58
FRA,France,2020-06-17,60
FRA,France,2020-06-24,59
FRA,France,2020-07-01,62
FRA,France,2020-07-16,64
FRA,France,2020-07-22,62
FRA,France,2020-07-31,59
FRA,France,2020-08-07,58
FRA,France,2020-08-12,58
FRA,France,2020-09-02,48
FRA,France,2020-09-10,49
FRA,France,2020-09-22,51
FRA,France,2020-09-30,51
FRA,France,2020-10-15,45
FRA,France,2020-10-22,46
FRA,France,2020-10-28,49
FRA,France,2020-11-04,47
FRA,France,2020-11-18,45
FRA,France,2020-11-25,46
FRA,France,2020-12-02,43
FRA,France,2020-12-09,45
FRA,France,2020-12-16,44
FRA,France,2021-01-06,44
FRA,France,2021-01-20,49
GBR,United Kingdom,2020-03-01,25
GBR,United Kingdom,2020-03-13,16
GBR,United Kingdom,2020-03-20,22
GBR,United Kingdom,2020-03-27,29
GBR,United Kingdom,2020-04-03,35
GBR,United Kingdom,2020-04-14,32
GBR,United Kingdom,2020-04-17,40
GBR,United Kingdom,2020-04-24,32
GBR,United Kingdom,2020-05-01,42
GBR,United Kingdom,2020-05-30,45
GBR,United Kingdom,2020-06-05,47
GBR,United Kingdom,2020-06-16,45
GBR,United Kingdom,2020-06-25,44
GBR,United Kingdom,2020-07-03,45
GBR,United Kingdom,2020-07-12,42
GBR,United Kingdom,2020-07-26,41
GBR,United Kingdom,2020-07-31,40
GBR,United Kingdom,2020-08-07,35
GBR,United Kingdom,2020-08-12,35
GBR,United Kingdom,2020-08-25,36
GBR,United Kingdom,2020-09-08,32
GBR,United Kingdom,2020-09-16,32
GBR,United Kingdom,2020-09-29,30
GBR,United Kingdom,2020-10-07,29
GBR,United Kingdom,2020-10-22,32
GBR,United Kingdom,2020-11-18,29
GBR,United Kingdom,2020-11-26,30
GBR,United Kingdom,2020-12-04,29
GBR,United Kingdom,2020-12-15,33
GBR,United Kingdom,2021-01-05,31
GBR,United Kingdom,2021-01-19,33
HKG,Hong Kong SAR China,2020-02-25,21
HKG,Hong Kong SAR China,2020-03-03,54
HKG,Hong Kong SAR China,2020-03-10,50
HKG,Hong Kong SAR China,2020-03-17,53
HKG,Hong Kong SAR China,2020-03-24,54
HKG,Hong Kong SAR China,2020-03-31,55
HKG,Hong Kong SAR China,2020-04-07,55
HKG,Hong Kong SAR China,2020-04-14,56
HKG,Hong Kong SAR China,2020-04-21,51
HKG,Hong Kong SAR China,2020-04-28,56
HKG,Hong Kong SAR China,2020-05-05,56
HKG,Hong Kong SAR China,2020-06-08,57
HKG,Hong Kong SAR China,2020-06-22,55
HKG,Hong Kong SAR China,2020-07-06,54
HKG,Hong Kong SAR China,2020-08-04,52
HKG,Hong Kong SAR China,2020-08-18,51
HKG,Hong Kong SAR China,2020-09-15,47
HKG,Hong Kong SAR China,2020-09-28,47
HKG,Hong Kong SAR China,2020-10-12,45
HKG,Hong Kong SAR China,2020-10-27,44
HKG,Hong Kong SAR China,2020-11-09,43
HKG,Hong Kong SAR China,2020-11-24,41
HKG,Hong Kong SAR China,2020-12-07,39
HKG,Hong Kong SAR China,2020-12-21,40
HKG,Hong Kong SAR China,2021-01-05,40
HKG,Hong Kong SAR China,2021-01-18,42
IDN,Indonesia,2020-02-24,6
IDN,Indonesia,2020-03-02,45
IDN,Indonesia,2020-03-09,53
IDN,Indonesia,2020-03-16,53
IDN,Indonesia,2020-03-24,61
IDN,Indonesia,2020-03-30,63
IDN,Indonesia,2020-04-06,56
IDN,Indonesia,2020-04-13,61
IDN,Indonesia,2020-04-20,62
IDN,Indonesia,2020-04-27,56
IDN,Indonesia,2020-05-22,53
IDN,Indonesia,2020-06-08,55
IDN,Indonesia,2020-06-22,55
IDN,Indonesia,2020-07-06,52
IDN,Indonesia,2020-08-03,51
IDN,Indonesia,2020-08-17,56
IDN,Indonesia,2020-08-31,56
IDN,Indonesia,2020-09-14,57
IDN,Indonesia,2020-09-28,58
IDN,Indonesia,2020-10-12,57
IDN,Indonesia,2020-10-26,61
IDN,Indonesia,2020-11-09,60
IDN,Indonesia,2020-11-23,55
IDN,Indonesia,2020-12-07,57
IDN,Indonesia,2020-12-21,59
IDN,Indonesia,2021-01-04,47
IDN,Indonesia,2021-01-18,52
IND,India,2020-03-16,52
IND,India,2020-03-20,54
IND,India,2020-03-27,58
IND,India,2020-04-03,58
IND,India,2020-04-10,63
IND,India,2020-04-17,61
IND,India,2020-04-24,60
IND,India,2020-05-01,64
IND,India,2020-07-23,53
IND,India,2020-08-02,58
IND,India,2020-08-05,58
IND,India,2020-08-14,56
IND,India,2020-08-21,53
IND,India,2020-09-18,53
IND,India,2020-09-24,54
IND,India,2020-10-02,51
IND,India,2020-10-11,48
IND,India,2020-10-19,53
IND,India,2020-10-23,51
IND,India,2020-10-31,55
IND,India,2020-11-06,53
IND,India,2020-11-13,48
IND,India,2020-11-20,52
IND,India,2020-11-29,49
IND,India,2020-12-05,57
IND,India,2020-12-14,55
IND,India,2020-12-18,52
ITA,Italy,2020-03-11,60
ITA,Italy,2020-03-19,69
ITA,Italy,2020-03-25,71
ITA,Italy,2020-04-03,71
ITA,Italy,2020-04-09,76
ITA,Italy,2020-04-16,78
ITA,Italy,2020-04-23,77
ITA,Italy,2020-04-30,70
ITA,Italy,2020-05-26,57
ITA,Italy,2020-06-02,58
ITA,Italy,2020-06-10,54
ITA,Italy,2020-06-17,53
ITA,Italy,2020-06-23,52
ITA,Italy,2020-07-07,48
ITA,Italy,2020-07-14,49
ITA,Italy,2020-07-21,52
ITA,Italy,2020-07-28,48
ITA,Italy,2020-08-18,49
ITA,Italy,2020-08-25,52
ITA,Italy,2020-09-01,50
ITA,Italy,2020-09-09,54
ITA,Italy,2020-09-16,50
ITA,Italy,2020-09-29,52
ITA,Italy,2020-10-06,51
ITA,Italy,2020-10-13,50
ITA,Italy,2020-10-20,55
ITA,Italy,2020-10-27,55
ITA,Italy,2020-11-03,50
ITA,Italy,2020-11-10,51
ITA,Italy,2020-11-17,49
ITA,Italy,2020-12-01,47
ITA,Italy,2020-12-09,45
ITA,Italy,2020-12-14,50
ITA,Italy,2020-12-22,47
ITA,Italy,2021-01-05,48
ITA,Italy,2021-01-12,48
JPN,Japan,2020-03-17,28
JPN,Japan,2020-03-23,25
JPN,Japan,2020-03-30,31
JPN,Japan,2020-04-06,26
JPN,Japan,2020-04-13,25
JPN,Japan,2020-04-20,25
JPN,Japan,2020-04-27,28
JPN,Japan,2020-05-04,27
MEX,Mexico,2020-03-17,38
MEX,Mexico,2020-03-23,41
MEX,Mexico,2020-03-30,44
MEX,Mexico,2020-04-06,50
MEX,Mexico,2020-04-13,48
MEX,Mexico,2020-04-20,55
MEX,Mexico,2020-04-27,55
MEX,Mexico,2020-05-06,52
MYS,Malaysia,2020-02-24,7
MYS,Malaysia,2020-03-02,57
MYS,Malaysia,2020-03-09,56
MYS,Malaysia,2020-03-16,63
MYS,Malaysia,2020-03-23,68
MYS,Malaysia,2020-03-30,69
MYS,Malaysia,2020-04-06,68
MYS,Malaysia,2020-04-13,63
MYS,Malaysia,2020-04-20,63
MYS,Malaysia,2020-04-27,61
MYS,Malaysia,2020-05-04,60
MYS,Malaysia,2020-05-25,58
MYS,Malaysia,2020-06-08,56
MYS,Malaysia,2020-06-22,59
MYS,Malaysia,2020-07-06,55
MYS,Malaysia,2020-08-03,54
MYS,Malaysia,2020-08-17,56
MYS,Malaysia,2020-08-31,53
MYS,Malaysia,2020-09-14,51
MYS,Malaysia,2020-09-28,52
MYS,Malaysia,2020-10-12,48
MYS,Malaysia,2020-10-26,52
MYS,Malaysia,2020-11-09,50
MYS,Malaysia,2020-11-23,52
MYS,Malaysia,2020-12-07,49
MYS,Malaysia,2020-12-21,53
MYS,Malaysia,2021-01-04,49
MYS,Malaysia,2021-01-18,52
PHL,Philippines,2020-02-24,8
PHL,Philippines,2020-03-02,54
PHL,Philippines,2020-03-09,52
PHL,Philippines,2020-03-16,60
PHL,Philippines,2020-03-23,67
PHL,Philippines,2020-03-30,65
PHL,Philippines,2020-04-06,66
PHL,Philippines,2020-04-13,66
PHL,Philippines,2020-04-20,62
PHL,Philippines,2020-04-27,60
PHL,Philippines,2020-05-04,62
PHL,Philippines,2020-05-25,60
PHL,Philippines,2020-06-08,58
PHL,Philippines,2020-06-22,60
PHL,Philippines,2020-07-06,59
PHL,Philippines,2020-08-03,60
PHL,Philippines,2020-08-17,65
PHL,Philippines,2020-08-31,61
PHL,Philippines,2020-09-14,63
PHL,Philippines,2020-09-28,63
PHL,Philippines,2020-10-12,63
PHL,Philippines,2020-10-26,55
PHL,Philippines,2020-11-09,58
PHL,Philippines,2020-11-23,60
PHL,Philippines,2020-12-07,62
PHL,Philippines,2020-12-21,61
PHL,Philippines,2021-01-04,63
PHL,Philippines,2021-01-18,61
SGP,Singapore,2020-02-21,9
SGP,Singapore,2020-02-28,34
SGP,Singapore,2020-03-06,34
SGP,Singapore,2020-03-13,30
SGP,Singapore,2020-03-20,38
SGP,Singapore,2020-03-27,36
SGP,Singapore,2020-04-03,45
SGP,Singapore,2020-04-10,53
SGP,Singapore,2020-04-17,51
SGP,Singapore,2020-04-24,53
SGP,Singapore,2020-05-01,51
SGP,Singapore,2020-05-22,62
SGP,Singapore,2020-06-05,54
SGP,Singapore,2020-06-19,56
SGP,Singapore,2020-07-07,57
SGP,Singapore,2020-08-03,54
SGP,Singapore,2020-08-14,55
SGP,Singapore,2020-08-28,52
SGP,Singapore,2020-09-11,58
SGP,Singapore,2020-09-25,59
SGP,Singapore,2020-10-09,59
SGP,Singapore,2020-10-23,57
SGP,Singapore,2020-11-06,57
SGP,Singapore,2020-11-20,58
SGP,Singapore,2020-12-04,58
SGP,Singapore,2020-12-18,57
SGP,Singapore,2021-01-04,57
SGP,Singapore,2021-01-15,56
THA,Thailand,2020-02-24,18
THA,Thailand,2020-03-02,59
THA,Thailand,2020-03-09,59
THA,Thailand,2020-03-16,59
THA,Thailand,2020-03-23,66
THA,Thailand,2020-03-30,71
THA,Thailand,2020-04-06,71
THA,Thailand,2020-04-13,73
THA,Thailand,2020-04-20,72
THA,Thailand,2020-04-27,73
THA,Thailand,2020-05-04,70
THA,Thailand,2020-05-25,66
THA,Thailand,2020-06-08,62
THA,Thailand,2020-06-22,60
THA,Thailand,2020-07-06,60
THA,Thailand,2020-08-17,57
